Province_State,Country_Region,GDP_region,TRUE POPULATION,pct_in_largest_city, TFR , Avg_age ,latitude,longitude,abs_latitude,temperature,humidity,Personality_pdi,Personality_idv,Personality_mas,Personality_uai,Personality_ltowvs,Personality_assertive,personality_perform,personality_agreeableness,murder,High_rises,max_high_rises,AIR_CITIES,AIR_AVG,continent_gdp_pc,continent_happiness,continent_generosity,continent_corruption,continent_Life_expectancy
,Hungary, 4.8 ," 9,660,351 ",19.234%,1.5,43,47.16,19.50,47.16,9.5,68.5,46,80,88,82,58,4.71,3.5,#DIV/0!,0.7,0,0,17,17.2,9.98,5.88,-0.10,0.85,68.15
,Bulgaria, 4.0 ," 6,948,445 ",15.724%,1.6,45,42.73,25.49,42.73,10.0,74.2,70,30,40,85,69,3,0,#DIV/0!,0.1,823,706,3,23.3,9.98,5.88,-0.10,0.85,68.15
,Latvia, 3.4 ," 1,886,198 ",38.448%,1.7,44,56.88,24.60,56.88,4.8,78.1,44,70,9,63,69,3,#N/A,43.79,1.2,0,0,0,#DIV/0!,9.98,5.88,-0.10,0.85,68.15
District of Columbia,US, 3.6 ," 633,000 ",109.632%,1.8,38,38.90,-77.03,38.90,11.7,63.2,40,91,62,46,26,4.5,4.45,50,2.9,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
,Slovakia, 4.5 ," 5,459,642 ",8.217%,1.5,41,48.67,19.70,48.67,4.5,85.3,104,52,110,51,77,3,0,47.38,0.0,0,0,27,18.3,9.98,5.88,-0.10,0.85,68.15
,Andorra, 1.4 ," 77,265 ",20.000%,N.A.,N.A.,42.51,1.52,42.51,7.4,75.4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,#N/A,#DIV/0!,-1.6,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
,Taiwan*, 6.4 ," 23,816,775 ",11.363%,1.2,42,23.70,121.00,23.70,21.7,69.2,58,17,45,69,93,3.7,4.27,44.74,-0.2,9525,4582,21,18.3,10.32,5.71,-0.05,0.70,71.09
,Costa Rica, 4.1 ," 5,094,118 ",7.020%,1.8,33,9.75,-83.75,9.75,24.0,79.3,35,15,21,86,#NULL!,3.83,4.1,#DIV/0!,2.5,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
South Australia,Australia, 4.4 ," 1,600,000 ",20.000%,1.8,38,-34.93,138.60,34.93,24.1,60.0,38,90,61,51,21,3,0,47.51,-0.1,2585,872,74,6.5,10.71,7.17,0.16,0.43,72.18
Guangxi,China, 6.1 ," 48,850,000 ",7.822%,1.7,38,23.83,108.79,23.83,20.1,74.8,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
Shaanxi,China, 5.8 ," 38,350,000 ",20.618%,1.7,38,35.19,108.87,35.19,9.4,46.9,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
,Uruguay, 4.0 ," 3,473,730 ",41.739%,2,36,-32.52,-55.77,32.52,31.7,57.3,61,36,38,100,26,3,0,#DIV/0!,2.0,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
,Bosnia and Herzegovina, 2.8 ," 3,280,819 ",20.000%,1.3,43,43.92,17.68,43.92,8.4,78.4,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,0.2,0,0,0,#DIV/0!,9.98,5.88,-0.10,0.85,68.15
Iowa,US, 5.2 ," 3,155,070 ",6.829%,1.8,38,42.01,-93.21,42.01,1.7,82.6,40,91,62,46,26,4.5,4.45,50,0.5,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
,Jordan, 3.7 ," 10,203,134 ",12.280%,2.8,24,31.24,36.51,31.24,14.5,67.6,#NULL!,#NULL!,#NULL!,#NULL!,16,3,#N/A,53.73,0.4,0,0,0,#DIV/0!,9.71,5.23,-0.08,0.76,65.31
Western Australia,Australia, 4.9 ," 2,600,000 ",20.000%,1.8,38,-31.95,115.86,31.95,29.8,51.8,38,90,61,51,21,3,0,47.51,-0.1,2585,872,74,6.5,10.71,7.17,0.16,0.43,72.18
,Tunisia, 3.7 ," 11,818,619 ",5.895%,2.2,33,34.00,9.00,34.00,18.4,47.5,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,1.1,0,0,0,#DIV/0!,9.71,5.23,-0.08,0.76,65.31
,Kuwait, 4.9 ," 4,270,571 ",0.752%,2.1,37,29.50,47.75,29.50,22.5,38.5,3.56,3.79,4.97,0,0,3.56,3.79,#DIV/0!,0.6,0,0,1,56.0,9.71,5.23,-0.08,0.76,65.31
,San Marino, 1.0 ," 33,931 ",20.000%,N.A.,36,43.94,12.46,43.94,12.8,68.5,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,-1.6,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
,North Macedonia, 2.4 ," 2,083,374 ",20.000%,1.5,39,41.61,21.75,41.61,10.7,67.7,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,0.5,0,0,0,#DIV/0!,9.21,5.36,-0.04,0.75,64.73
Kansas,US, 5.2 ," 2,913,314 ",13.125%,1.8,38,38.53,-96.73,38.53,8.3,72.4,40,91,62,46,26,4.5,4.45,50,1.4,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
Idaho,US, 4.7 ," 1,787,147 ",11.508%,1.8,38,44.24,-114.48,44.24,-0.4,86.1,40,91,62,46,26,4.5,4.45,50,0.7,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
Rhode Island,US, 4.2 ," 1,059,361 ",16.807%,1.8,38,41.68,-71.51,41.68,7.4,65.9,40,91,62,46,26,4.5,4.45,50,0.4,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
,Moldova, 2.3 ," 4,033,963 ",17.643%,1.3,38,47.41,28.37,47.41,9.3,69.0,#NULL!,#NULL!,#NULL!,#NULL!,71,3,#N/A,#DIV/0!,1.2,0,0,0,#DIV/0!,9.21,5.36,-0.04,0.75,64.73
,Albania, 2.6 ," 2,877,797 ",14.039%,1.6,36,41.15,20.17,41.15,13.0,72.6,#NULL!,#NULL!,#NULL!,#NULL!,61,4.57,4.57,#DIV/0!,1.0,0,0,0,#DIV/0!,9.98,5.88,-0.10,0.85,68.15
Vermont,US, 3.6 ," 623,989 ",6.798%,1.8,38,44.05,-72.71,44.05,-0.5,85.6,40,91,62,46,26,4.5,4.45,50,0.5,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
,Burkina Faso, 2.6 ," 20,903,273 ",1.753%,5.2,18,12.24,-1.56,12.24,37.8,11.1,#NULL!,#NULL!,#NULL!,#NULL!,27,3,#N/A,#DIV/0!,-1.0,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
Yunnan,China, 6.0 ," 48,010,000 ",9.179%,1.7,38,24.97,101.49,24.97,18.8,60.4,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
Hainan,China, 4.4 ," 9,170,000 ",20.000%,1.7,38,19.20,109.75,19.20,25.7,83.8,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
Maine,US, 4.4 ," 1,344,212 ",4.924%,1.8,38,44.69,-69.38,44.69,1.3,79.8,40,91,62,46,26,4.5,4.45,50,0.6,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
,Azerbaijan, 3.7 ," 10,139,177 ",20.000%,2.1,32,40.14,47.58,40.14,12.6,62.2,#NULL!,#NULL!,#NULL!,#NULL!,61,3,#N/A,#DIV/0!,0.8,0,0,0,#DIV/0!,9.21,5.36,-0.04,0.75,64.73
Delaware,US, 4.1 ," 973,764 ",7.276%,1.8,38,39.32,-75.51,39.32,9.6,70.5,40,91,62,46,26,4.5,4.45,50,1.6,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
,Vietnam, 5.4 ," 97,338,579 ",0.588%,2.1,32,16.00,108.00,16.00,25.3,84.9,70,20,40,30,57,3,0,48,0.4,1873,1026,3,31.0,9.37,5.38,0.16,0.70,64.71
,Cyprus, 3.4 ," 1,207,359 ",20.000%,1.3,37,35.13,33.43,35.13,15.4,71.0,0,0,0,0,0,3,#N/A,51.16,0.1,0,0,5,16.2,10.69,6.90,0.04,0.53,72.86
New Hampshire,US, 4.4 ," 1,359,711 ",8.058%,1.8,38,43.45,-71.56,43.45,3.0,79.3,40,91,62,46,26,4.5,4.45,50,0.4,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
Tianjin,China, 4.9 ," 15,570,000 ",27.903%,1.7,38,39.31,117.32,39.31,10.3,45.2,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
,Kazakhstan, 5.0 ," 18,776,707 ",5.679%,2.8,31,48.02,66.92,48.02,-4.5,86.4,4.51,3.72,5.4,0,0,4.51,3.72,#DIV/0!,1.6,0,0,1,29.8,9.21,5.36,-0.04,0.75,64.73
Guizhou,China, 5.7 ," 35,550,000 ",9.244%,1.7,38,26.82,106.87,26.82,13.6,81.1,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
Reunion,France, 3.6 ," 895,312 ",20.000%,1.9,42,-21.14,55.25,21.14,26.9,79.2,68,71,43,86,63,4.44,4.43,46.64,0.3,698,698,128,10.5,10.69,6.90,0.04,0.53,72.86
Faroe Islands,Denmark, 5.8 ," 5,792,202 ",20.000%,1.8,42,61.89,-6.91,61.89,5.1,76.1,18,74,16,23,35,4.04,4.4,#DIV/0!,0.0,0,0,0,#DIV/0!,10.69,6.90,0.04,0.53,72.86
,Malta, 2.4 ," 441,543 ",20.000%,1.5,43,35.94,14.38,35.94,15.6,73.3,56,59,47,96,47,3,0,49.56,-0.1,0,0,1,11.0,10.69,6.90,0.04,0.53,72.86
,Ghana, 4.1 ," 31,072,940 ",5.167%,3.9,22,7.95,-1.02,7.95,34.2,49.0,#NULL!,#NULL!,#NULL!,#NULL!,4,3,#N/A,#DIV/0!,0.5,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
Gansu,China, 5.4 ," 26,260,000 ",11.639%,1.7,38,37.81,101.06,37.81,-5.4,49.0,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
New Mexico,US, 4.8 ," 2,096,829 ",26.032%,1.8,38,34.84,-106.25,34.84,9.7,54.1,40,91,62,46,26,4.5,4.45,50,2.1,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
Shanxi,China, 5.8 ," 36,820,000 ",10.491%,1.7,38,37.58,112.29,37.58,8.1,44.6,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
,Oman, 4.3 ," 5,106,626 ",15.202%,2.9,31,21.00,57.00,21.00,29.0,40.4,0,0,0,0,30,3,#N/A,#DIV/0!,-0.4,0,0,0,#DIV/0!,9.71,5.23,-0.08,0.76,65.31
Liaoning,China, 5.9 ," 43,690,000 ",16.409%,1.7,38,41.30,122.61,41.30,2.4,57.0,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
,Senegal, 3.1 ," 16,743,927 ",14.238%,4.7,19,14.50,-14.45,14.50,40.3,10.6,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,2.0,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Brunei, 2.6 ," 437,479 ",20.000%,1.8,32,4.54,114.73,4.54,32.0,82.4,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,-0.7,0,0,0,#DIV/0!,10.32,5.71,-0.05,0.70,71.09
,Afghanistan, 3.1 ," 38,928,346 ",5.503%,4.6,18,33.00,65.00,33.00,11.9,51.5,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,1.8,0,0,1,61.8,8.56,4.48,0.04,0.79,62.45
Montana,US, 4.2 ," 1,068,778 ",9.747%,1.8,38,46.92,-110.45,46.92,-1.3,79.2,40,91,62,46,26,4.5,4.45,50,1.2,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
,Venezuela, 6.1 ," 28,435,940 ",6.330%,2.3,30,6.42,-66.59,6.42,36.8,47.7,81,12,73,76,16,4.25,3.41,#DIV/0!,4.0,4093,3864,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
,Sri Lanka, 4.4 ," 21,413,249 ",3.665%,2.2,34,7.00,81.00,7.00,23.2,74.9,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,0.9,0,0,1,32.0,8.56,4.48,0.04,0.79,62.45
Hawaii,US, 4.4 ," 1,415,872 ",23.820%,1.8,38,21.09,-157.50,21.09,23.6,74.4,40,91,62,46,26,4.5,4.45,50,0.9,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
Newfoundland and Labrador,Canada, 3.1 ," 521,000 ",20.000%,1.5,41,53.14,-57.66,53.14,-10.0,81.4,39,80,52,48,36,3,0,49.14,0.5,5017,2224,83,7.5,10.71,7.17,0.16,0.43,72.18
,Cote d'Ivoire, 3.6 ," 22,000,000 ",20.000%,#N/A,19,7.54,-5.55,7.54,37.5,41.1,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,0.4,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Cambodia, 3.1 ," 16,718,965 ",20.000%,2.5,26,11.55,104.92,11.55,35.5,55.5,80,20,30,60,0,3,#N/A,#DIV/0!,0.6,10,10,1,20.1,9.37,5.38,0.16,0.70,64.71
Jilin,China, 5.5 ," 27,170,000 ",4.206%,1.7,38,43.67,126.19,43.67,-3.5,83.6,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
Saskatchewan,Canada, 3.8 ," 1,000,000 ",20.000%,1.5,41,52.94,-106.45,52.94,-7.5,91.0,39,80,52,48,36,3,0,49.14,0.5,5017,2224,83,7.5,10.71,7.17,0.16,0.43,72.18
,Mauritius, 2.6 ," 1,271,768 ",11.055%,1.4,37,-20.20,57.50,20.20,28.2,79.2,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,0.6,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Belarus, 3.9 ," 9,449,323 ",18.675%,1.7,40,53.71,27.95,53.71,4.6,79.9,0,0,0,0,81,3,#N/A,#DIV/0!,1.3,1214,1214,0,#DIV/0!,9.21,5.36,-0.04,0.75,64.73
Inner Mongolia,China, 5.4 ," 25,290,000 ",8.597%,1.7,38,44.09,113.94,44.09,-7.8,78.7,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
,Cameroon, 3.6 ," 26,545,863 ",4.229%,4.6,19,3.85,11.50,3.85,35.1,65.5,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,1.4,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
Nova Scotia,Canada, 3.8 ," 971,000 ",20.000%,1.5,41,44.68,-63.74,44.68,1.2,79.6,39,80,52,48,36,3,0,49.14,0.5,5017,2224,83,7.5,10.71,7.17,0.16,0.43,72.18
Channel Islands,United Kingdom, 2.1 ," 170,000 ",20.000%,1.8,40,49.37,-2.36,49.37,10.0,78.5,35,89,66,35,51,3,0,47.31,0.2,2375,1761,80,10.2,10.69,6.90,0.04,0.53,72.86
,Uzbekistan, 4.2 ," 33,469,203 ",6.424%,2.4,28,41.38,64.59,41.38,10.2,52.1,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,1.1,0,0,1,34.3,9.21,5.36,-0.04,0.75,64.73
,Georgia, 2.7 ," 3,717,000 ",37.205%,2.1,38,42.32,43.36,42.32,7.8,75.8,#NULL!,#NULL!,#NULL!,#NULL!,38,4.15,3.85,60,0.0,0,0,0,#DIV/0!,9.21,5.36,-0.04,0.75,64.73
,Montenegro, 1.7 ," 628,066 ",20.000%,1.8,39,42.50,19.30,42.50,12.6,67.6,#NULL!,#NULL!,#NULL!,#NULL!,75,3,#N/A,#DIV/0!,1.5,0,0,0,#DIV/0!,9.98,5.88,-0.10,0.85,68.15
Nebraska,US, 4.7 ," 1,934,408 ",21.141%,1.8,38,41.13,-98.27,41.13,6.3,69.0,40,91,62,46,26,4.5,4.45,50,0.8,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
Martinique,France, 2.7 ," 376,000 ",20.000%,1.9,42,14.00,-61.00,14.00,20.0,80.0,68,71,43,86,63,4.44,4.43,46.64,0.3,698,698,128,10.5,10.69,6.90,0.04,0.53,72.86
,Cuba, 4.5 ," 11,326,616 ",20.553%,1.6,42,22.00,-80.00,22.00,27.3,77.2,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,1.6,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
Puerto Rico,US, 5.2 ," 3,193,694 ",12.378%,1.8,38,18.22,-66.59,18.22,27.4,77.6,40,91,62,46,26,4.5,4.45,50,0.4,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
Xinjiang,China, 5.4 ," 24,450,000 ",17.623%,1.7,38,41.11,85.24,41.11,7.1,47.6,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
West Virginia,US, 4.7 ," 1,792,065 ",2.868%,1.8,38,38.49,-80.95,38.49,7.3,80.1,40,91,62,46,26,4.5,4.45,50,1.3,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
Ningxia,China, 4.1 ," 6,820,000 ",20.000%,1.7,38,37.27,106.17,37.27,5.8,43.9,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
Guadeloupe,France, 2.8 ," 400,124 ",20.000%,1.9,42,16.25,-61.58,16.25,27.4,74.7,68,71,43,86,63,4.44,4.43,46.64,0.3,698,698,128,10.5,10.69,6.90,0.04,0.53,72.86
,Nigeria, 6.1 ," 206,139,589 ",3.895%,5.4,18,9.08,8.68,9.08,39.5,21.0,#NULL!,#NULL!,#NULL!,#NULL!,13,4.53,3.79,#DIV/0!,2.3,0,0,2,43.1,7.90,4.38,0.00,0.77,55.09
Wyoming,US, 3.6 ," 578,759 ",10.275%,1.8,38,42.76,-107.30,42.76,-1.5,82.1,40,91,62,46,26,4.5,4.45,50,0.8,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
,Honduras, 3.1 ," 9,904,607 ",11.978%,2.5,24,15.20,-86.24,15.20,29.5,78.3,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,4.0,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
North Dakota,US, 3.8 ," 762,062 ",13.850%,1.8,38,47.53,-99.78,47.53,-4.6,85.7,40,91,62,46,26,4.5,4.45,50,0.9,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
,Trinidad and Tobago, 3.1 ," 1,399,488 ",20.000%,1.7,36,10.69,-61.22,10.69,27.9,78.9,47,16,58,55,13,3,#N/A,#DIV/0!,3.4,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
Australian Capital Territory,Australia, 3.1 ," 400,000 ",20.000%,1.8,38,-35.47,149.01,35.47,24.4,65.5,38,90,61,51,21,3,0,47.51,-0.1,2585,872,74,6.5,10.71,7.17,0.16,0.43,72.18
,Bolivia, 3.6 ," 11,673,021 ",13.003%,2.8,26,-16.29,-63.59,16.29,33.5,67.8,3.78,3.57,4.46,0,0,3.78,3.57,49.62,1.8,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
Alaska,US, 3.8 ," 731,545 ",39.892%,1.8,38,61.37,-152.40,61.37,-9.9,71.7,40,91,62,46,26,4.5,4.45,50,2.1,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
South Dakota,US, 4.0 ," 884,659 ",17.395%,1.8,38,44.30,-99.44,44.30,-0.7,82.7,40,91,62,46,26,4.5,4.45,50,0.3,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
,Kyrgyzstan, 2.1 ," 6,524,195 ",12.398%,3,26,41.20,74.77,41.20,-7.2,62.7,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,1.5,0,0,0,#DIV/0!,9.21,5.36,-0.04,0.75,64.73
,Liechtenstein, 2.0 ," 38,128 ",20.000%,N.A.,38,47.14,9.55,47.14,5.9,79.1,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,-1.6,0,0,0,#DIV/0!,10.69,6.90,0.04,0.53,72.86
Gibraltar,United Kingdom, 0.9 ," 34,000 ",20.000%,1.8,40,36.14,-5.35,36.14,15.2,77.9,35,89,66,35,51,3,0,47.31,0.2,2375,1761,80,10.2,10.69,6.90,0.04,0.53,72.86
,Rwanda, 2.3 ," 12,952,218 ",20.000%,4.1,20,-1.94,29.87,1.94,26.5,81.1,#NULL!,#NULL!,#NULL!,#NULL!,18,3,#N/A,#DIV/0!,0.9,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Paraguay, 3.7 ," 7,132,538 ",7.666%,2.4,26,-23.44,-58.44,23.44,38.0,47.9,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,2.2,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
,Congo (Kinshasa), 3.0 ," 11,000,000 ",20.000%,#N/A,19,-4.04,21.76,4.04,33.3,75.5,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,0.4,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
Guam,US, 2.4 ," 165,718 ",27.120%,1.8,38,13.44,144.79,13.44,27.3,79.0,40,91,62,46,26,4.5,4.45,50,0.4,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
Mayotte,France, 2.4 ," 272,815 ",20.000%,1.9,42,-12.83,45.17,12.83,29.4,73.0,68,71,43,86,63,4.44,4.43,46.64,0.3,698,698,128,10.5,10.69,6.90,0.04,0.53,72.86
,Bangladesh, 5.5 ," 164,689,383 ",5.185%,2.1,28,23.69,90.36,23.69,30.3,42.6,80,20,55,60,47,3,0,50.49,0.9,1521,1521,1,97.1,8.56,4.48,0.04,0.79,62.45
Tasmania,Australia, 3.3 ," 515,000 ",20.000%,1.8,38,-41.45,145.97,41.45,18.0,76.0,38,90,61,51,21,3,0,47.51,-0.1,2585,872,74,6.5,10.71,7.17,0.16,0.43,72.18
New Brunswick,Canada, 3.5 ," 777,000 ",20.000%,1.5,41,46.57,-66.46,46.57,-0.9,84.4,39,80,52,48,36,3,0,49.14,0.5,5017,2224,83,7.5,10.71,7.17,0.16,0.43,72.18
,Monaco, 2.0 ," 39,242 ",20.000%,N.A.,40,43.73,7.42,43.73,14.1,62.3,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,-1.6,0,0,0,#DIV/0!,10.69,6.90,0.04,0.53,72.86
Manitoba,Canada, 4.0 ," 1,300,000 ",20.000%,1.5,41,53.76,-98.81,53.76,-10.7,91.5,39,80,52,48,36,3,0,49.14,0.5,5017,2224,83,7.5,10.71,7.17,0.16,0.43,72.18
Macau,China, 1.9 ," 622,000 ",20.000%,1.7,38,22.17,113.55,22.17,20.8,76.9,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
Aruba,Netherlands, 1.8 ," 106,766 ",20.000%,1.7,43,12.52,-70.04,12.52,26.5,80.1,38,80,14,53,67,4.46,4.46,46.08,-0.6,908,359,26,11.7,10.69,6.90,0.04,0.53,72.86
,Kenya, 4.4 ," 53,771,296 ",4.669%,3.5,20,-0.02,37.91,0.02,24.7,73.8,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,1.6,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
French Polynesia,France, 2.5 ," 283,000 ",20.000%,1.9,42,-17.68,149.41,17.68,29.7,77.3,68,71,43,86,63,4.44,4.43,46.64,0.3,698,698,128,10.5,10.69,6.90,0.04,0.53,72.86
Isle of Man,United Kingdom, 1.5 ," 84,000 ",20.000%,1.8,40,54.24,-4.55,54.24,6.4,80.4,35,89,66,35,51,3,0,47.31,0.2,2375,1761,80,10.2,10.69,6.90,0.04,0.53,72.86
,Guatemala, 4.3 ," 17,915,568 ",6.086%,2.9,23,15.78,-90.23,15.78,23.6,86.0,95,6,37,101,#NULL!,3.96,3.85,#DIV/0!,3.3,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
French Guiana,France, 2.5 ," 298,682 ",20.000%,1.9,42,3.93,-53.13,3.93,32.6,75.4,68,71,43,86,63,4.44,4.43,46.64,0.3,698,698,128,10.5,10.69,6.90,0.04,0.53,72.86
,Jamaica, 2.7 ," 2,961,167 ",20.000%,2,31,18.11,-77.30,18.11,28.1,78.1,45,39,68,13,#NULL!,3,0,#DIV/0!,3.9,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
,Madagascar, 2.4 ," 25,570,000 ",3.423%,4.1,20,-18.77,46.87,18.77,24.4,83.8,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,2.0,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Togo, 1.8 ," 8,278,724 ",8.153%,4.4,19,8.62,0.82,8.62,38.8,27.4,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,2.2,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Barbados, 1.7 ," 287,375 ",20.000%,1.6,40,13.19,-59.54,13.19,26.9,75.0,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,2.4,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
,Uganda, 3.3 ," 42,860,000 ",2.224%,5,17,1.00,32.00,1.00,31.4,54.0,#NULL!,#NULL!,#NULL!,#NULL!,24,3,#N/A,#DIV/0!,2.4,0,0,1,40.8,7.90,4.38,0.00,0.77,55.09
,Zambia, 3.2 ," 18,383,955 ",6.626%,4.7,18,-15.42,28.28,15.42,25.0,87.7,#NULL!,#NULL!,#NULL!,#NULL!,30,4,4.01,#DIV/0!,1.7,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
Virgin Islands,US, 1.9 ," 100,000 ",18.481%,1.8,38,18.34,-64.90,18.34,25.8,75.8,40,91,62,46,26,4.5,4.45,50,0.4,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
Qinghai,China, 4.0 ," 5,980,000 ",20.000%,1.7,38,35.75,96.00,35.75,2.9,25.2,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
Bermuda,United Kingdom, 1.3 ," 65,000 ",20.000%,1.8,40,32.31,-64.75,32.31,18.9,75.4,35,89,66,35,51,3,0,47.31,0.2,2375,1761,80,10.2,10.69,6.90,0.04,0.53,72.86
,Ethiopia, 4.5 ," 114,963,588 ",2.295%,4.3,19,9.14,40.49,9.14,30.7,47.8,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,#N/A,51.82,2.0,0,0,1,27.1,7.90,4.38,0.00,0.77,55.09
